policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
risk_score,risk_mass,rho,0.0,10000,159,10000,1.0,159,9841,9841,0,0,1.0,0.0159,1.0,0.031302293532828034
risk_score,risk_mass,rho,6.134987273753723e-08,10000,159,558,0.0558,141,417,417,18,9424,0.8867924528301887,0.25268817204301075,0.0423737425058429,0.39330543933054396
risk_score,risk_mass,rho,1.713621884391614e-07,10000,159,557,0.0557,141,416,416,18,9425,0.8867924528301887,0.25314183123877915,0.04227212681638045,0.3938547486033519
risk_score,risk_mass,rho,3.241185098090682e-07,10000,159,556,0.0556,141,415,415,18,9426,0.8867924528301887,0.25359712230215825,0.042170511126918,0.39440559440559436
risk_score,risk_mass,rho,9.96354629023699e-07,10000,159,555,0.0555,141,414,414,18,9427,0.8867924528301887,0.25405405405405407,0.042068895437455546,0.39495798319327735
risk_score,risk_mass,rho,1e-06,10000,159,554,0.0554,141,413,413,18,9428,0.8867924528301887,0.2545126353790614,0.04196727974799309,0.3955119214586255
risk_score,risk_mass,rho,1.2309984640523908e-06,10000,159,554,0.0554,141,413,413,18,9428,0.8867924528301887,0.2545126353790614,0.04196727974799309,0.3955119214586255
risk_score,risk_mass,rho,2.469812670824467e-06,10000,159,553,0.0553,141,412,412,18,9429,0.8867924528301887,0.2549728752260398,0.041865664058530636,0.39606741573033705
risk_score,risk_mass,rho,2.5760459720913786e-06,10000,159,552,0.0552,141,411,411,18,9430,0.8867924528301887,0.2554347826086957,0.041764048369068184,0.39662447257383965
risk_score,risk_mass,rho,3.4633035284059588e-06,10000,159,551,0.0551,141,410,410,18,9431,0.8867924528301887,0.2558983666061706,0.04166243267960573,0.3971830985915494
risk_score,risk_mass,rho,4.863645244768122e-06,10000,159,550,0.055,141,409,409,18,9432,0.8867924528301887,0.25636363636363635,0.04156081699014328,0.3977433004231311
