scenario_id,target_actor_id,num_modes,top1_mode,top1_probability,top1_min_distance,worst_case_mode,worst_case_probability,worst_case_min_distance,ground_truth_min_distance,unsafe_mode_count,safety_threshold_m,unsafe_probability_mass,severity_weighted_risk,expected_distance_deficit_risk,top1_event,worst_case_event,ground_truth_event,probabilities,mode_min_distances
00010486-9a07-48ae-b493-cf4545855937,77544,6,4,0.3731001317501068,17.12910776585952,0,0.011052250862121582,17.126779253743834,17.137973409870547,0,3.0,0.0,0.0,0.0,false,false,false,"[0.011052250862121582, 0.23655448853969574, 0.09262964874505997, 0.2361903339624405, 0.3731001317501068, 0.05047312378883362]","[17.126779253743834, 17.128580686917825, 17.128577576414862, 17.12976718560846, 17.12910776585952, 17.129855611029313]"
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,6,3,0.3755089342594147,10.971450247782645,1,0.09243347495794296,10.96309097463087,11.417657629336146,0,3.0,0.0,0.0,0.0,false,false,false,"[0.014842730015516281, 0.09243347495794296, 0.027871688827872276, 0.3755089342594147, 0.2935596704483032, 0.19578349590301514]","[11.052550124732294, 10.96309097463087, 10.981755626698996, 10.971450247782645, 10.96542539776361, 10.993548129420308]"
0006ca28-fcbb-4ae2-9d9e-951fa3b41c1c,62021,6,2,0.4142039716243744,20.607024708166275,5,0.0016524329548701644,15.606332468210049,20.724609311727292,0,3.0,0.0,0.0,0.0,false,false,false,"[0.0694030150771141, 0.3782522976398468, 0.4142039716243744, 0.01863221824169159, 0.11785601824522018, 0.0016524329548701644]","[20.829084619739394, 20.335414711222246, 20.607024708166275, 18.64095803970127, 19.634205855257708, 15.606332468210049]"
0007df76-c9a2-47aa-83bf-3b2b414109c9,79739,6,4,0.2818070650100708,9.466077683197788,5,0.06522748619318008,9.465920961451571,9.467472996304922,0,3.0,0.0,0.0,0.0,false,false,false,"[0.019314436241984367, 0.229435533285141, 0.1403694599866867, 0.2638460397720337, 0.2818070650100708, 0.06522748619318008]","[9.471209894445352, 9.466214256703974, 9.46783942484374, 9.466092892957443, 9.466077683197788, 9.465920961451571]"
0015197d-b916-43b6-bcaa-8a7d90d7b87d,26943,6,2,0.6046013832092285,11.83605793696525,0,0.001281424192711711,8.937446739339855,15.367578208782547,0,3.0,0.0,0.0,0.0,false,false,false,"[0.001281424192711711, 0.31395602226257324, 0.6046013832092285, 0.0007592231268063188, 0.07939157634973526, 1.0368011317041237e-05]","[8.937446739339855, 13.768918692443501, 11.83605793696525, 15.70910338392642, 14.922638330888951, 15.872856110152515]"
00170a57-eb8a-4947-8b7d-7b12af7af2db,157474,6,1,0.5317715406417847,3.4270362425625023,0,0.0007878370233811438,3.2614177633511874,3.362151129964027,0,3.0,0.0,0.0,0.0,false,false,false,"[0.0007878370233811438, 0.5317715406417847, 0.1716555953025818, 0.057592179626226425, 0.23790571093559265, 0.0002871581236831844]","[3.2614177633511874, 3.4270362425625023, 3.3158326927952047, 3.441020272786941, 3.4373883402635697, 3.440555783510179]"
001749f1-bc1c-47fb-a13f-9ab1f2c050a8,7361,6,1,0.2648898959159851,3.3171304893715607,5,0.024044949561357498,0.4480973718285185,3.40640844842747,1,3.0,0.024044949561357498,0.06136036997987891,0.020453456659959637,false,true,false,"[0.12088070809841156, 0.2648898959159851, 0.24443940818309784, 0.11995281279087067, 0.22579222917556763, 0.024044949561357498]","[3.2573202753879453, 3.3171304893715607, 3.2982021752010557, 3.328113143971418, 3.324684119457237, 0.4480973718285185]"
00190202-a988-4f35-96b5-876869b4e0a3,147327,6,0,0.4628504514694214,8.30623984742856,0,0.4628504514694214,8.30623984742856,8.33376100675116,0,3.0,0.0,0.0,0.0,false,false,false,"[0.4628504514694214, 0.1625954657793045, 0.31212612986564636, 0.00012841551506426185, 0.062298599630594254, 9.08999822968326e-07]","[8.30623984742856, 8.333988369580652, 8.394734127727933, 8.391775167456135, 8.442132111835003, 8.409316547511244]"
00195499-be19-4cfb-867a-f6a78c43f51c,52958,6,2,0.22942043840885162,3.403850935477123,5,0.07729115337133408,3.33868327363696,3.694961345674319,0,3.0,0.0,0.0,0.0,false,false,false,"[0.15320003032684326, 0.21628281474113464, 0.22942043840885162, 0.1383521556854248, 0.1854533702135086, 0.07729115337133408]","[3.496205461304991, 3.4004432985278537, 3.403850935477123, 3.35478985172341, 3.376463828703865, 3.33868327363696]"
001ce108-22b2-4e40-bcf3-40d22732a8c3,192411,6,3,0.2858017385005951,18.396278705008168,5,0.15697599947452545,16.778166389947156,18.237195114766635,0,3.0,0.0,0.0,0.0,false,false,false,"[0.02121332287788391, 0.18500253558158875, 0.10332072526216507, 0.2858017385005951, 0.24768571555614471, 0.15697599947452545]","[23.26199458524831, 21.01581003894672, 22.398009696310474, 18.396278705008168, 19.725625056285548, 16.778166389947156]"
