policy_family,policy_name,policy_parameter,parameter_value,total_scenarios,realized_positive_events,total_interventions,intervention_rate,true_positives,false_positives,extra_interventions,false_negatives,true_negatives,realized_event_recall,realized_event_precision,false_positive_rate,f1
baseline,top1,,,500,8,13,0.026,5,8,8,3,484,0.625,0.38461538461538464,0.016260162601626018,0.4761904761904762
baseline,worst_case,,,500,8,31,0.062,7,24,24,1,468,0.875,0.22580645161290322,0.04878048780487805,0.358974358974359
probability_filter,probability_aware_theta_0,theta,0.0,500,8,31,0.062,7,24,24,1,468,0.875,0.22580645161290322,0.04878048780487805,0.358974358974359
probability_filter,probability_aware_theta_0.001,theta,0.001,500,8,29,0.058,7,22,22,1,470,0.875,0.2413793103448276,0.044715447154471545,0.3783783783783784
probability_filter,probability_aware_theta_0.01,theta,0.01,500,8,24,0.048,6,18,18,2,474,0.75,0.25,0.036585365853658534,0.375
probability_filter,probability_aware_theta_0.03,theta,0.03,500,8,20,0.04,6,14,14,2,478,0.75,0.3,0.028455284552845527,0.4285714285714285
probability_filter,probability_aware_theta_0.05,theta,0.05,500,8,19,0.038,6,13,13,2,479,0.75,0.3157894736842105,0.026422764227642278,0.44444444444444436
probability_filter,probability_aware_theta_0.1,theta,0.1,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
probability_filter,probability_aware_theta_0.2,theta,0.2,500,8,14,0.028,6,8,8,2,484,0.75,0.42857142857142855,0.016260162601626018,0.5454545454545454
probability_filter,probability_aware_theta_0.3,theta,0.3,500,8,13,0.026,5,8,8,3,484,0.625,0.38461538461538464,0.016260162601626018,0.4761904761904762
probability_filter,probability_aware_theta_0.5,theta,0.5,500,8,13,0.026,5,8,8,3,484,0.625,0.38461538461538464,0.016260162601626018,0.4761904761904762
