scenario_id,target_actor_id,probability_threshold,eligible_mode_count,fallback_used,top1_mode,top1_probability,top1_min_distance,top1_brake,worst_case_mode,worst_case_probability,worst_case_min_distance,worst_case_brake,probability_aware_trigger_mode,probability_aware_trigger_probability,probability_aware_min_distance,probability_aware_brake,ground_truth_min_distance,ground_truth_near_miss,hidden_risk_detected,missed_worst_case_brake,artifact_path
00010486-9a07-48ae-b493-cf4545855937,77544,0.0,6,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,0,0.011052250862121582,17.126779253743834,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.001,6,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,0,0.011052250862121582,17.126779253743834,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.01,6,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,0,0.011052250862121582,17.126779253743834,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.03,5,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,2,0.09262964874505997,17.128577576414862,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.05,5,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,2,0.09262964874505997,17.128577576414862,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.1,3,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,1,0.23655448853969574,17.128580686917825,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.2,3,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,1,0.23655448853969574,17.128580686917825,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.3,1,False,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,4,0.3731001317501068,17.12910776585952,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00010486-9a07-48ae-b493-cf4545855937,77544,0.5,1,True,4,0.3731001317501068,17.12910776585952,False,0,0.011052250862121582,17.126779253743834,False,4,0.3731001317501068,17.12910776585952,False,17.137973409870547,False,False,False,results/qcnet_server_500/artifacts/00010486-9a07-48ae-b493-cf4545855937.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.0,6,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,1,0.09243347495794296,10.96309097463087,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.001,6,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,1,0.09243347495794296,10.96309097463087,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.01,6,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,1,0.09243347495794296,10.96309097463087,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.03,4,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,1,0.09243347495794296,10.96309097463087,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.05,4,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,1,0.09243347495794296,10.96309097463087,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.1,3,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,4,0.2935596704483032,10.96542539776361,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.2,2,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,4,0.2935596704483032,10.96542539776361,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
00062a32-8d6d-4449-9948-6fedac67bfcd,21361,0.3,1,False,3,0.3755089342594147,10.971450247782645,False,1,0.09243347495794296,10.96309097463087,False,3,0.3755089342594147,10.971450247782645,False,11.417657629336146,False,False,False,results/qcnet_server_500/artifacts/00062a32-8d6d-4449-9948-6fedac67bfcd.npz
